transaction_id,town,state,datestamp,bread_size,bread_price_NGN
41,Ondo City,Ondo,2025-09-24,Extra Large,3500
42,Ohafia,Abia,2024-05-30,Medium,1200
43,Sokoto,Sokoto,2024-10-10,Large,2200
44,Illela,Sokoto,2024-11-24,Medium,1200
45,Sapele,Delta,2024-06-24,Medium,1200
46,Buni Yadi,Yobe,2024-10-14,Small,500
47,Zuru,Kebbi,2024-07-09,Small,500
48,Monguno,Borno,2024-11-16,Large,2200
49,Owerri,Imo,2025-08-04,Medium,1200
50,Yenagoa,Bayelsa,2025-01-18,Extra Large,3500
51,Jamaare,Bauchi,2025-01-22,Medium,1200
52,Obudu,Cross River,2024-09-27,Medium,1200
53,Birnin Kudu,Jigawa,2024-11-08,Extra Large,3500
54,Udi,Enugu,2026-03-12,Medium,1200
55,Malumfashi,Katsina,2025-08-13,Large,2200
56,Ejigbo,Osun,2025-07-16,Extra Large,3500
57,Biu,Borno,2024-08-30,Medium,1200
58,Misau,Bauchi,2025-10-11,Small,500
59,Talata Mafara,Zamfara,2024-08-24,Medium,1200
60,Aba,Abia,2025-01-29,Small,500
61,Gombe,Gombe,2026-04-20,Small,500
62,Lokoja,Kogi,2025-08-07,Medium,1200
63,Kagoro,Kaduna,2025-06-08,Medium,1200
64,Potiskum,Yobe,2025-09-09,Extra Large,3500
65,Mbaise,Imo,2026-01-03,Extra Large,3500
66,Ado-Ekiti,Ekiti,2025-11-15,Small,500
67,Owo,Ondo,2024-10-11,Extra Large,3500
68,Ilaro,Ogun,2024-05-20,Small,500
69,Makurdi,Benue,2024-12-13,Extra Large,3500
70,Lokoja,Kogi,2024-11-08,Medium,1200
71,Ikere-Ekiti,Ekiti,2024-09-28,Extra Large,3500
72,Obudu,Cross River,2026-03-17,Medium,1200
73,Kagoro,Kaduna,2026-01-27,Medium,1200
74,Dass,Bauchi,2024-12-13,Small,500
75,Ogidi,Anambra,2025-08-19,Small,500
76,Brass,Bayelsa,2025-02-10,Medium,1200
77,Ilaro,Ogun,2026-02-24,Extra Large,3500
78,Oji River,Enugu,2025-03-28,Small,500
79,Ohaozara,Ebonyi,2024-11-06,Small,500
80,Akwanga,Nasarawa,2024-10-24,Extra Large,3500
81,Danbatta,Kano,2025-06-11,Extra Large,3500
82,Warri,Delta,2024-11-05,Large,2200
83,Enugu,Enugu,2025-06-28,Small,500
84,Birnin Kebbi,Kebbi,2026-02-12,Small,500
85,Shendam,Plateau,2025-02-12,Medium,1200
86,Ogidi,Anambra,2024-10-04,Small,500
87,Benin City,Edo,2026-04-26,Small,500
88,Mbaise,Imo,2025-05-04,Small,500
89,Oguta,Imo,2024-07-02,Small,500
90,Oporoma,Bayelsa,2024-05-31,Large,2200
91,Hadejia,Jigawa,2024-07-16,Large,2200
92,Okigwe,Imo,2025-07-29,Extra Large,3500
93,Ogoja,Cross River,2025-11-27,Extra Large,3500
94,Birnin Kebbi,Kebbi,2025-03-01,Small,500
95,Saki,Oyo,2024-06-12,Small,500
96,Jamaare,Bauchi,2025-01-30,Medium,1200
97,Wamako,Sokoto,2026-04-25,Medium,1200
98,Ilorin,Kwara,2025-05-18,Medium,1200
99,Badagry,Lagos,2026-04-06,Medium,1200
100,Ejigbo,Osun,2026-01-16,Large,2200
101,Jalingo,Taraba,2024-05-05,Large,2200
102,Otukpo,Benue,2025-10-05,Large,2200
103,Maiduguri,Borno,2025-09-07,Medium,1200
104,Kafanchan,Kaduna,2025-05-24,Medium,1200
105,Okene,Kogi,2024-11-08,Large,2200
106,Gwadabawa,Sokoto,2025-08-08,Large,2200
107,Awka,Anambra,2024-07-17,Extra Large,3500
108,Kaduna,Kaduna,2025-03-10,Small,500
109,Okene,Kogi,2025-03-24,Large,2200
110,Ohaozara,Ebonyi,2026-03-25,Extra Large,3500
111,Gusau,Zamfara,2026-01-27,Small,500
112,Azare,Bauchi,2024-11-05,Small,500
113,Ikorodu,Lagos,2025-04-27,Medium,1200
114,Ondo City,Ondo,2024-09-04,Small,500
115,Funtua,Katsina,2026-02-23,Small,500
116,Offa,Kwara,2026-01-23,Medium,1200
117,Gboko,Benue,2024-12-01,Extra Large,3500
118,Warri,Delta,2025-08-07,Medium,1200
119,Uromi,Edo,2025-07-16,Small,500
120,Ekpoma,Edo,2024-08-16,Extra Large,3500
121,Okigwe,Imo,2025-11-05,Medium,1200
122,Katsina-Ala,Benue,2025-05-26,Small,500
123,Barkin Ladi,Plateau,2025-11-17,Medium,1200
124,Oyo Town,Oyo,2025-05-19,Large,2200
125,Biu,Gombe,2024-04-27,Small,500
126,Igbara-Odo,Ekiti,2024-12-19,Large,2200
127,Kaduna,Kaduna,2024-05-11,Large,2200
128,Jebba,Kwara,2026-03-07,Extra Large,3500
129,Gashua,Yobe,2026-01-29,Small,500
130,Monguno,Borno,2025-12-25,Medium,1200
131,Dutse,Jigawa,2024-12-07,Small,500
132,Owo,Ondo,2024-06-08,Large,2200
133,Idanre,Ondo,2026-01-28,Small,500
134,Wamba,Nasarawa,2026-03-20,Medium,1200
135,Dutse,Jigawa,2024-06-28,Extra Large,3500
136,Isuikwuato,Abia,2025-04-17,Medium,1200
137,Epe,Lagos,2024-06-16,Small,500
138,Ankpa,Kogi,2025-11-04,Large,2200
139,Monguno,Borno,2025-11-07,Large,2200
140,Sagamu,Ogun,2024-07-29,Extra Large,3500
141,Rano,Kano,2025-04-09,Medium,1200
142,Igbara-Odo,Ekiti,2025-06-02,Extra Large,3500
143,Irrua,Edo,2024-11-06,Large,2200
144,Rijau,Niger,2026-01-24,Small,500
145,Funtua,Katsina,2025-03-02,Medium,1200
146,Idanre,Ondo,2024-09-28,Large,2200
147,Iseyin,Oyo,2025-05-26,Extra Large,3500
148,Udi,Enugu,2025-10-12,Extra Large,3500
149,Abakaliki,Ebonyi,2024-09-21,Large,2200
150,Illela,Sokoto,2024-12-10,Large,2200
151,Brass,Bayelsa,2026-04-24,Large,2200
152,Biu,Gombe,2025-08-15,Medium,1200
153,Yola,Adamawa,2025-03-13,Medium,1200
154,Shendam,Plateau,2025-05-10,Small,500
155,Iseyin,Oyo,2024-07-24,Medium,1200
156,Nassarawa,Nasarawa,2024-10-08,Extra Large,3500
157,Orlu,Imo,2024-12-30,Small,500
158,Katsina-Ala,Benue,2025-07-01,Medium,1200
159,Irrua,Edo,2024-10-12,Extra Large,3500
160,Ogidi,Anambra,2024-10-04,Medium,1200
161,Gwoza,Borno,2024-06-17,Medium,1200
162,Saki,Oyo,2025-08-01,Large,2200
163,Ejigbo,Osun,2024-10-11,Extra Large,3500
164,Kaura Namoda,Zamfara,2026-02-17,Medium,1200
165,Langtang,Plateau,2026-01-15,Large,2200
166,Okigwe,Imo,2024-06-17,Extra Large,3500
167,Okigwe,Imo,2024-10-17,Extra Large,3500
168,Misau,Bauchi,2025-08-29,Medium,1200
169,Kafanchan,Kaduna,2024-09-30,Large,2200
170,Damaturu,Yobe,2024-08-01,Medium,1200
171,Warri,Delta,2026-03-11,Extra Large,3500
172,Warri,Delta,2025-06-18,Small,500
173,Ilaro,Ogun,2025-04-07,Large,2200
174,Nguru,Yobe,2025-11-21,Extra Large,3500
175,Onitsha,Anambra,2025-12-08,Extra Large,3500
176,Wamba,Nasarawa,2024-09-13,Small,500
177,Nassarawa,Nasarawa,2024-07-06,Small,500
178,Omu-Aran,Kwara,2025-03-08,Extra Large,3500
179,Ota,Ogun,2025-03-02,Medium,1200
180,Omoku,Rivers,2025-04-03,Large,2200
181,Ikare,Ondo,2025-10-11,Small,500
182,Akwanga,Nasarawa,2025-09-01,Extra Large,3500
183,Ohaozara,Ebonyi,2026-04-16,Medium,1200
184,Damaturu,Yobe,2024-07-07,Extra Large,3500
185,Yola,Adamawa,2025-02-15,Extra Large,3500
186,Obudu,Cross River,2024-12-31,Medium,1200
187,Nnewi,Anambra,2026-01-16,Extra Large,3500
188,Argungu,Kebbi,2024-10-25,Extra Large,3500
189,Yauri,Kebbi,2024-09-13,Extra Large,3500
190,Kagoro,Kaduna,2025-03-20,Large,2200
191,Oporoma,Bayelsa,2025-03-01,Small,500
192,Damaturu,Yobe,2024-11-16,Large,2200
193,Gombe,Gombe,2024-10-26,Small,500
194,Mubi,Adamawa,2026-03-02,Medium,1200
195,Futungo,Adamawa,2025-03-16,Medium,1200
196,Orlu,Imo,2026-01-16,Extra Large,3500
197,Dikwa,Borno,2025-06-03,Medium,1200
198,Oyo Town,Oyo,2024-06-02,Large,2200
199,Ishieke,Ebonyi,2026-04-27,Small,500
200,Onueke,Ebonyi,2025-12-29,Small,500
201,Numan,Adamawa,2026-04-05,Extra Large,3500
202,Suleja,Niger,2026-03-05,Small,500
203,Owerri,Imo,2026-01-07,Large,2200
204,Dikwa,Borno,2024-08-26,Small,500
205,Jebba,Kwara,2025-04-17,Extra Large,3500
206,Lagos,Lagos,2024-09-30,Large,2200
207,Arochukwu,Abia,2025-02-14,Extra Large,3500
208,Katsina-Ala,Benue,2024-06-08,Large,2200
209,Ogbomoso,Oyo,2025-01-29,Extra Large,3500
210,Irrua,Edo,2026-04-17,Large,2200
211,Nguru,Yobe,2024-11-06,Extra Large,3500
212,Idanre,Ondo,2025-11-21,Large,2200
213,Argungu,Kebbi,2025-03-25,Small,500
214,Kagoro,Kaduna,2025-03-02,Medium,1200
215,Saki,Oyo,2026-03-27,Extra Large,3500
216,Lokoja,Kogi,2026-04-24,Extra Large,3500
217,Argungu,Kebbi,2025-06-07,Extra Large,3500
218,Agbani,Enugu,2025-10-04,Large,2200
219,Idah,Kogi,2024-08-18,Large,2200
220,Gusau,Zamfara,2024-11-29,Medium,1200
221,Brass,Bayelsa,2026-04-05,Extra Large,3500
222,Eleme,Rivers,2025-06-24,Medium,1200
223,Langtang,Plateau,2025-05-28,Extra Large,3500
224,Yola,Adamawa,2025-10-25,Large,2200
225,Deba,Gombe,2024-06-07,Medium,1200
226,Dutsin-Ma,Katsina,2025-06-28,Large,2200
227,Shendam,Plateau,2025-04-29,Large,2200
228,Idanre,Ondo,2026-01-10,Large,2200
229,Kaiama,Kwara,2024-08-20,Large,2200
230,Funtua,Katsina,2026-03-30,Medium,1200
231,Biu,Borno,2024-06-24,Large,2200
232,Dikwa,Borno,2024-09-09,Medium,1200
233,Ikere-Ekiti,Ekiti,2025-07-05,Extra Large,3500
234,Saminaka,Kaduna,2025-09-02,Large,2200
235,Otukpo,Benue,2024-10-15,Large,2200
236,Kaltungo,Gombe,2024-07-23,Medium,1200
237,Katsina,Katsina,2026-02-06,Medium,1200
238,Kaduna,Kaduna,2024-10-23,Small,500
239,Anka,Zamfara,2025-07-05,Medium,1200
240,Port Harcourt,Rivers,2025-07-23,Small,500
241,Danbatta,Kano,2025-02-27,Extra Large,3500
242,Ilesa,Osun,2025-06-27,Medium,1200
243,Nnewi,Anambra,2025-05-14,Extra Large,3500
244,Maiduguri,Borno,2026-03-11,Extra Large,3500
245,Port Harcourt,Rivers,2024-09-23,Small,500
246,Warri,Delta,2025-10-02,Large,2200
247,Brass,Bayelsa,2024-10-18,Small,500
248,Kaura Namoda,Zamfara,2025-02-10,Medium,1200
249,Mutum Biyu,Taraba,2025-08-31,Extra Large,3500
250,Ilesa,Osun,2024-12-02,Extra Large,3500
251,Dutsin-Ma,Katsina,2024-12-14,Small,500
252,Otukpo,Benue,2025-10-28,Medium,1200
253,Dutse,Jigawa,2024-06-19,Medium,1200
254,Orlu,Imo,2025-03-28,Small,500
255,Abakaliki,Ebonyi,2026-04-26,Extra Large,3500
256,Ejigbo,Osun,2026-04-25,Extra Large,3500
257,Kano,Kano,2024-06-19,Medium,1200
258,Bichi,Kano,2024-09-29,Extra Large,3500
259,Azare,Bauchi,2024-11-06,Large,2200
260,Igbara-Odo,Ekiti,2026-03-10,Small,500
261,Potiskum,Yobe,2026-01-30,Medium,1200
262,Zaria,Kaduna,2026-01-29,Small,500
263,Onitsha,Anambra,2025-01-22,Large,2200
264,Danbatta,Kano,2024-08-20,Small,500
265,Oyo Town,Oyo,2025-12-27,Extra Large,3500
266,Saminaka,Kaduna,2025-09-23,Extra Large,3500
267,Osogbo,Osun,2025-07-18,Small,500
268,Owo,Ondo,2026-04-18,Large,2200
269,Yola,Adamawa,2025-08-18,Medium,1200
270,Numan,Adamawa,2024-05-02,Small,500
271,Uromi,Edo,2025-12-15,Extra Large,3500
272,Zaria,Kaduna,2024-12-01,Extra Large,3500
273,Port Harcourt,Rivers,2025-08-24,Extra Large,3500
274,Kaiama,Kwara,2026-03-14,Large,2200
275,Birnin Kebbi,Kebbi,2024-08-03,Medium,1200
276,Kabba,Kogi,2024-07-20,Extra Large,3500
277,Danbatta,Kano,2024-07-14,Small,500
278,Ibadan,Oyo,2025-06-05,Large,2200
279,Gumel,Jigawa,2024-11-12,Small,500
280,Rijau,Niger,2025-07-13,Small,500
281,Nguru,Yobe,2025-10-03,Extra Large,3500
282,Onitsha,Anambra,2024-09-22,Large,2200
283,Degema,Rivers,2025-08-03,Small,500
284,Agbani,Enugu,2024-11-05,Medium,1200
285,Danbatta,Kano,2025-04-19,Extra Large,3500
286,Maiduguri,Borno,2026-02-17,Medium,1200
287,Onueke,Ebonyi,2026-01-05,Small,500
288,Kaura Namoda,Zamfara,2024-07-03,Small,500
289,Gombe,Gombe,2025-03-02,Extra Large,3500
290,Biu,Borno,2024-11-15,Extra Large,3500
291,Rano,Kano,2024-04-29,Large,2200
292,Ilaro,Ogun,2025-11-11,Extra Large,3500
293,Mbaise,Imo,2025-08-05,Medium,1200
294,Keffi,Nasarawa,2024-11-04,Medium,1200
295,Misau,Bauchi,2025-10-20,Extra Large,3500
296,Ankpa,Kogi,2025-06-04,Large,2200
297,Ohafia,Abia,2025-03-05,Large,2200
298,Omoku,Rivers,2024-05-04,Extra Large,3500
299,Nguru,Yobe,2024-06-21,Large,2200
300,Ankpa,Kogi,2026-02-01,Extra Large,3500
301,Oyo Town,Oyo,2026-02-16,Medium,1200
302,Oguta,Imo,2025-05-30,Extra Large,3500
303,Deba,Gombe,2025-12-28,Small,500
304,Zuru,Kebbi,2025-06-26,Extra Large,3500
305,Keffi,Nasarawa,2024-08-13,Extra Large,3500
306,Eket,Akwa Ibom,2024-07-29,Large,2200
307,Katsina-Ala,Benue,2024-12-08,Small,500
308,Mutum Biyu,Taraba,2026-02-13,Small,500
309,Ughelli,Delta,2025-11-29,Medium,1200
310,Dass,Bauchi,2026-01-16,Large,2200
311,Ankpa,Kogi,2026-02-13,Extra Large,3500
312,Sagbama,Bayelsa,2024-09-27,Extra Large,3500
313,Zuru,Kebbi,2024-10-26,Small,500
314,Azare,Bauchi,2024-07-11,Large,2200
315,Gombe,Gombe,2025-11-18,Extra Large,3500
316,Makurdi,Benue,2026-02-02,Extra Large,3500
317,Onueke,Ebonyi,2025-02-18,Small,500
318,Ikot Ekpene,Akwa Ibom,2025-07-24,Small,500
319,Bichi,Kano,2024-08-17,Large,2200
320,Ondo City,Ondo,2026-03-07,Medium,1200
321,Mutum Biyu,Taraba,2026-01-19,Medium,1200
322,Afikpo,Ebonyi,2026-04-10,Small,500
323,Wamba,Nasarawa,2025-12-10,Medium,1200
324,Eleme,Rivers,2026-01-31,Medium,1200
325,Deba,Gombe,2024-05-15,Large,2200
326,Oyo Town,Oyo,2025-10-17,Small,500
327,Oyo Town,Oyo,2024-12-25,Medium,1200
328,Dass,Bauchi,2026-03-08,Large,2200
329,Malumfashi,Katsina,2025-12-04,Large,2200
330,Oyo Town,Oyo,2026-01-18,Medium,1200
331,Nassarawa,Nasarawa,2025-12-10,Small,500
332,Mbaise,Imo,2024-11-08,Large,2200
333,Bichi,Kano,2025-11-23,Small,500
334,Bida,Niger,2024-07-15,Small,500
335,Ogidi,Anambra,2026-01-24,Extra Large,3500
336,Wudil,Kano,2026-01-14,Large,2200
337,Biu,Gombe,2024-10-06,Large,2200
338,Calabar,Cross River,2025-12-14,Small,500
339,Malumfashi,Katsina,2025-03-29,Small,500
340,Ikeja,Lagos,2024-12-06,Small,500
341,Bichi,Kano,2025-11-29,Extra Large,3500
342,Auchi,Edo,2024-10-10,Medium,1200
343,Gashua,Yobe,2024-05-14,Large,2200
344,Onueke,Ebonyi,2024-09-15,Extra Large,3500
345,Bichi,Kano,2024-12-22,Small,500
346,Ibadan,Oyo,2026-01-18,Medium,1200
347,Deba,Gombe,2026-04-03,Large,2200
348,Oporoma,Bayelsa,2024-11-17,Small,500
349,Birnin Kudu,Jigawa,2025-08-08,Small,500
350,Oyo Town,Oyo,2025-02-13,Large,2200
351,Akwanga,Nasarawa,2026-04-14,Small,500
352,Deba,Gombe,2025-05-23,Small,500
353,Anka,Zamfara,2026-03-14,Medium,1200
354,Dass,Bauchi,2024-07-20,Large,2200
355,Abeokuta,Ogun,2026-04-06,Medium,1200
356,Uyo,Akwa Ibom,2024-09-04,Large,2200
357,Port Harcourt,Rivers,2026-03-31,Small,500
358,Oguta,Imo,2024-11-07,Medium,1200
359,Nassarawa,Nasarawa,2024-07-15,Large,2200
360,Nguru,Yobe,2025-03-10,Medium,1200
361,Abeokuta,Ogun,2025-10-11,Extra Large,3500
362,Sagamu,Ogun,2024-12-12,Small,500
363,Ikeja,Lagos,2025-07-14,Extra Large,3500
364,Ile-Ife,Osun,2025-05-05,Large,2200
365,Gboko,Benue,2025-02-02,Large,2200
366,Ekwulobia,Anambra,2025-06-22,Large,2200
367,Ado-Ekiti,Ekiti,2024-10-30,Extra Large,3500
368,Brass,Bayelsa,2025-09-27,Small,500
369,Nnewi,Anambra,2024-04-28,Medium,1200
370,Akamkpa,Cross River,2026-03-04,Medium,1200
371,Jamaare,Bauchi,2025-05-25,Medium,1200
372,Nsukka,Enugu,2025-10-04,Large,2200
373,Agbor,Delta,2025-10-21,Small,500
374,Zaria,Kaduna,2025-08-30,Medium,1200
375,Gashua,Yobe,2025-01-18,Medium,1200
376,Maiduguri,Borno,2024-06-17,Medium,1200
377,Ohafia,Abia,2025-08-25,Medium,1200
378,Birnin Kebbi,Kebbi,2024-12-24,Medium,1200
379,Dutse,Jigawa,2024-12-12,Medium,1200
380,Ota,Ogun,2026-01-06,Small,500
381,Dass,Bauchi,2025-10-05,Extra Large,3500
382,Ikorodu,Lagos,2024-12-02,Small,500
383,Ejigbo,Osun,2024-12-09,Medium,1200
384,Abak,Akwa Ibom,2025-02-19,Large,2200
385,Ibadan,Oyo,2025-02-15,Small,500
386,Langtang,Plateau,2024-11-29,Extra Large,3500
387,Katsina-Ala,Benue,2024-07-29,Extra Large,3500
388,Bauchi,Bauchi,2025-02-28,Large,2200
389,Asaba,Delta,2026-03-15,Medium,1200
390,Saminaka,Kaduna,2025-09-04,Large,2200
391,Wamba,Nasarawa,2026-02-15,Large,2200
392,Saki,Oyo,2025-07-20,Extra Large,3500
393,Makurdi,Benue,2024-12-02,Medium,1200
394,Ikare,Ondo,2025-06-01,Medium,1200
395,Sagamu,Ogun,2024-04-27,Extra Large,3500
396,Kontagora,Niger,2024-11-22,Small,500
397,Zuru,Kebbi,2025-03-07,Large,2200
398,Gumel,Jigawa,2025-06-24,Medium,1200
399,Jos,Plateau,2025-08-18,Small,500
400,Yenagoa,Bayelsa,2025-04-01,Extra Large,3500
401,Gboko,Benue,2025-03-16,Medium,1200
402,Gusau,Zamfara,2024-09-30,Large,2200
403,Gwoza,Borno,2025-04-07,Large,2200
404,Akure,Ondo,2026-02-14,Large,2200
405,Funtua,Katsina,2025-11-29,Small,500
406,Tambuwal,Sokoto,2024-08-29,Medium,1200
407,Barkin Ladi,Plateau,2024-06-27,Small,500
408,Jebba,Kwara,2025-05-08,Large,2200
409,Monguno,Borno,2025-08-02,Medium,1200
410,Idanre,Ondo,2024-12-28,Small,500
411,Kaduna,Kaduna,2025-12-16,Medium,1200
412,Kafanchan,Kaduna,2025-10-28,Large,2200
413,Ilorin,Kwara,2025-08-31,Medium,1200
414,Agbor,Delta,2024-10-08,Extra Large,3500
415,Azare,Bauchi,2024-09-19,Small,500
416,Nembe,Bayelsa,2024-05-14,Medium,1200
417,Nassarawa,Nasarawa,2024-10-22,Extra Large,3500
418,Okene,Kogi,2025-04-09,Large,2200
419,Funtua,Katsina,2026-01-08,Small,500
420,Onitsha,Anambra,2024-06-19,Medium,1200
421,Awka,Anambra,2025-02-23,Large,2200
422,Ede,Osun,2025-07-31,Extra Large,3500
423,Ede,Osun,2024-09-16,Large,2200
424,Udi,Enugu,2025-09-18,Small,500
425,Kaiama,Kwara,2025-04-23,Small,500
426,Rano,Kano,2024-10-22,Extra Large,3500
427,Bali,Taraba,2025-08-19,Small,500
428,Deba,Gombe,2024-05-01,Small,500
429,Umuahia,Abia,2025-10-27,Large,2200
430,Nsukka,Enugu,2025-11-10,Large,2200
431,Bichi,Kano,2024-07-13,Small,500
432,Arochukwu,Abia,2025-03-03,Extra Large,3500
433,Auchi,Edo,2024-09-02,Extra Large,3500
434,Potiskum,Yobe,2026-03-28,Large,2200
435,Dass,Bauchi,2025-05-10,Small,500
436,Akure,Ondo,2024-06-02,Extra Large,3500
437,Misau,Bauchi,2024-10-26,Extra Large,3500
438,Kontagora,Niger,2026-01-07,Large,2200
439,Gwoza,Borno,2025-03-26,Small,500
440,Argungu,Kebbi,2025-12-03,Extra Large,3500
441,Lagos,Lagos,2025-08-27,Extra Large,3500
442,Otukpo,Benue,2026-04-19,Extra Large,3500
443,Rijau,Niger,2025-07-06,Small,500
444,Bida,Niger,2026-03-22,Large,2200
445,Kaltungo,Gombe,2026-02-07,Medium,1200
446,Jamaare,Bauchi,2025-07-18,Small,500
447,Gembu,Taraba,2025-10-04,Medium,1200
448,Omu-Aran,Kwara,2025-04-30,Medium,1200
449,Owerri,Imo,2025-12-25,Medium,1200
450,Hadejia,Jigawa,2025-06-01,Medium,1200
451,Asaba,Delta,2026-02-11,Medium,1200
452,Degema,Rivers,2025-10-22,Extra Large,3500
453,Yauri,Kebbi,2025-04-08,Medium,1200
454,Osogbo,Osun,2024-11-02,Extra Large,3500
455,Ilesa,Osun,2024-10-24,Large,2200
456,Nnewi,Anambra,2025-08-06,Small,500
457,Malumfashi,Katsina,2025-11-07,Extra Large,3500
458,Uyo,Akwa Ibom,2025-05-13,Large,2200
459,Kano,Kano,2025-07-29,Small,500
460,Gwadabawa,Sokoto,2024-11-13,Extra Large,3500
461,Gusau,Zamfara,2024-06-22,Extra Large,3500
462,Omuo-Ekiti,Ekiti,2024-11-21,Extra Large,3500
463,Tambuwal,Sokoto,2024-11-11,Small,500
464,Osogbo,Osun,2024-12-16,Large,2200
465,Nembe,Bayelsa,2025-05-26,Medium,1200
466,Eket,Akwa Ibom,2024-08-06,Extra Large,3500
467,Ejigbo,Osun,2024-10-13,Medium,1200
468,Badagry,Lagos,2025-09-16,Large,2200
469,Nassarawa,Nasarawa,2025-09-25,Large,2200
470,Nnewi,Anambra,2024-06-12,Small,500
471,Lokoja,Kogi,2025-02-18,Extra Large,3500
472,Bichi,Kano,2025-05-28,Medium,1200
473,Lokoja,Kogi,2025-02-24,Medium,1200
474,Omu-Aran,Kwara,2024-09-25,Extra Large,3500
475,Akamkpa,Cross River,2025-02-28,Small,500
476,Dutsin-Ma,Katsina,2026-02-17,Extra Large,3500
477,Okene,Kogi,2025-06-27,Small,500
478,Idanre,Ondo,2025-09-17,Large,2200
479,Numan,Adamawa,2026-01-13,Large,2200
480,Auchi,Edo,2025-11-07,Large,2200
481,Omoku,Rivers,2025-01-30,Medium,1200
482,Ikom,Cross River,2024-05-01,Small,500
483,Kano,Kano,2025-01-09,Small,500
484,Ankpa,Kogi,2025-10-29,Medium,1200
485,Keffi,Nasarawa,2026-01-10,Medium,1200
486,Irrua,Edo,2026-03-24,Medium,1200
487,Osogbo,Osun,2025-02-27,Extra Large,3500
488,Ikeja,Lagos,2025-10-25,Extra Large,3500
489,Danbatta,Kano,2025-05-31,Medium,1200
490,Potiskum,Yobe,2025-07-11,Large,2200
491,Barkin Ladi,Plateau,2024-10-05,Large,2200
492,Ede,Osun,2024-10-04,Large,2200
493,Wamba,Nasarawa,2025-03-11,Extra Large,3500
494,Afikpo,Ebonyi,2024-05-18,Medium,1200
495,Dutse,Jigawa,2024-12-28,Extra Large,3500
496,Ikorodu,Lagos,2025-09-05,Small,500
497,Jalingo,Taraba,2025-02-16,Large,2200
498,Brass,Bayelsa,2024-08-25,Large,2200
499,Ejigbo,Osun,2025-04-03,Medium,1200
500,Akure,Ondo,2024-07-29,Medium,1200
501,Ilesa,Osun,2025-07-25,Small,500
502,Abeokuta,Ogun,2024-05-16,Extra Large,3500
503,Wamako,Sokoto,2025-02-09,Medium,1200
504,Lafia,Nasarawa,2025-06-13,Large,2200
505,Gombe,Gombe,2024-05-16,Large,2200
506,Gboko,Benue,2025-08-09,Medium,1200
507,Calabar,Cross River,2024-08-04,Large,2200
508,Barkin Ladi,Plateau,2025-03-30,Extra Large,3500
509,Ejigbo,Osun,2024-06-02,Small,500
510,Yenagoa,Bayelsa,2025-01-29,Large,2200
511,Nsukka,Enugu,2024-09-28,Extra Large,3500
512,Monguno,Borno,2024-12-21,Medium,1200
513,Katsina,Katsina,2025-11-04,Small,500
514,Mbaise,Imo,2025-01-29,Extra Large,3500
515,Bauchi,Bauchi,2025-10-28,Extra Large,3500
516,Damaturu,Yobe,2025-12-26,Medium,1200
517,Sapele,Delta,2024-10-28,Extra Large,3500
518,Isuikwuato,Abia,2024-06-25,Large,2200
519,Oguta,Imo,2024-05-11,Extra Large,3500
520,Benin City,Edo,2025-05-26,Large,2200
521,Jamaare,Bauchi,2026-04-27,Small,500
522,Nassarawa,Nasarawa,2025-01-07,Small,500
